Route;From;Start;End;To;Trip;Duration;Distance;MinLay;VehGrp;ReliefPlace;ReliefTime
z092;lddora;8:31;9:29;ldnvin;1012;0:58;17.95;1;V12S;ldnsta;9:08
z092;ldnvin;8:33;9:30;lddora;1013;0:57;17.573;0;V12S;ldnsta;8:55
z092;lddora;9:02;9:59;ldnvin;1014;0:57;17.95;1;V12S;ldnsta;9:38
z092;ldnvin;9:03;10:00;lddora;1015;0:57;17.573;0;V12S;ldnsta;9:25
z092;lddora;9:32;10:29;ldnvin;1016;0:57;17.95;1;V12S;ldnsta;10:08
z092;ldnvin;9:33;10:30;lddora;1017;0:57;17.573;0;V12S;ldnsta;9:55
z092;lddora;10:02;10:59;ldnvin;1018;0:57;17.95;1;V12S;ldnsta;10:38
z092;ldnvin;10:03;11:00;lddora;1019;0:57;17.573;0;V12S;ldnsta;10:25
z092;lddora;10:32;11:29;ldnvin;1020;0:57;17.95;1;V12S;ldnsta;11:08
z092;ldnvin;10:33;11:30;lddora;1021;0:57;17.573;0;V12S;ldnsta;10:55
z092;lddora;11:02;11:59;ldnvin;1022;0:57;17.95;1;V12S;ldnsta;11:38
z092;ldnvin;11:03;12:00;lddora;1023;0:57;17.573;0;V12S;ldnsta;11:25
z092;lddora;11:32;12:29;ldnvin;1024;0:57;17.95;1;V12S;ldnsta;12:08
z092;ldnvin;11:33;12:30;lddora;1025;0:57;17.573;0;V12S;ldnsta;11:55
z092;lddora;12:02;12:59;ldnvin;1026;0:57;17.95;1;V12S;ldnsta;12:38
z092;ldnvin;12:03;13:00;lddora;1027;0:57;17.573;0;V12S;ldnsta;12:25
z092;lddora;12:32;13:29;ldnvin;1028;0:57;17.95;1;V12S;ldnsta;13:08
z092;ldnvin;12:33;13:30;lddora;1029;0:57;17.573;0;V12S;ldnsta;12:55
z092;lddora;13:02;13:59;ldnvin;1030;0:57;17.95;1;V12S;ldnsta;13:38
z092;ldnvin;13:03;14:00;lddora;1031;0:57;17.573;0;V12S;ldnsta;13:25
z092;lddora;13:32;14:29;ldnvin;1032;0:57;17.95;1;V12S;ldnsta;14:08
z092;ldnvin;13:33;14:32;lddora;1033;0:59;17.573;0;V12S;ldnsta;13:55
z092;lddora;14:02;14:59;ldnvin;1034;0:57;17.95;1;V12S;ldnsta;14:38
z092;ldnvin;14:03;15:02;lddora;1035;0:59;17.573;0;V12S;ldnsta;14:25
z092;lddora;14:32;15:29;ldnvin;1036;0:57;17.95;1;V12S;ldnsta;15:08
z092;ldnvin;14:33;15:32;lddora;1037;0:59;17.573;0;V12S;ldnsta;14:55
z092;lddora;15:02;15:59;ldnvin;1038;0:57;17.95;1;V12S;ldnsta;15:38
z092;ldnvin;15:03;16:02;lddora;1039;0:59;17.573;0;V12S;ldnsta;15:25
z092;lddora;15:32;16:28;ldnvin;1040;0:56;17.95;1;V12S;ldnsta;16:08
z092;ldnvin;15:33;16:32;lddora;1041;0:59;17.573;0;V12S;ldnsta;15:55
z092;lddora;16:02;16:59;ldnvin;1042;0:57;17.95;1;V12S;ldnsta;16:39
z092;ldnvin;16:03;17:02;lddora;1043;0:59;17.573;0;V12S;ldnsta;16:25
z092;lddora;16:32;17:29;ldnvin;1044;0:57;17.95;1;V12S;ldnsta;17:09
z092;ldnvin;16:33;17:32;lddora;1045;0:59;17.573;0;V12S;ldnsta;16:55
z092;lddora;17:02;17:59;ldnvin;1046;0:57;17.95;1;V12S;ldnsta;17:39
z092;ldnvin;17:03;18:02;lddora;1047;0:59;17.573;0;V12S;ldnsta;17:25
z092;lddora;17:32;18:29;ldnvin;1048;0:57;17.95;1;V12S;ldnsta;18:09
z092;ldnvin;17:33;18:32;lddora;1049;0:59;17.573;0;V12S;ldnsta;17:55
z092;lddora;18:02;18:58;ldnvin;1050;0:56;17.95;1;V12S;ldnsta;18:39
z092;ldnvin;18:03;19:02;lddora;1051;0:59;17.573;0;V12S;ldnsta;18:25
z092;lddora;18:32;19:23;ldnvin;1052;0:51;17.95;1;V12S;ldnsta;19:05
z092;ldnvin;18:39;19:32;lddora;1053;0:53;17.573;0;V12S;ldnsta;19:01
z092;lddora;19:02;19:50;ldnvin;1054;0:48;17.95;1;V12S;ldnsta;19:32
z092;ldnvin;19:12;20:02;lddora;1055;0:50;17.573;0;V12S;ldnsta;19:31
z092;lddora;19:32;20:20;ldnvin;1056;0:48;17.95;1;V12S;ldnsta;20:02
z092;ldnvin;19:42;20:32;lddora;1057;0:50;17.573;0;V12S;ldnsta;20:01
z092;lddora;20:02;20:50;ldnvin;1058;0:48;17.95;1;V12S;ldnsta;20:32
z092;ldnvin;20:12;21:02;lddora;1059;0:50;17.573;0;V12S;ldnsta;20:31
z092;lddora;20:32;21:20;ldnvin;1060;0:48;17.95;1;V12S;ldnsta;21:02
z092;ldnvin;20:43;21:32;lddora;1061;0:49;17.573;0;V12S;ldnsta;21:02
z092;lddora;21:02;21:50;ldnvin;1062;0:48;17.95;1;V12S;ldnsta;21:32
z092;ldnvin;21:13;22:02;lddora;1063;0:49;17.573;0;V12S;ldnsta;21:32
z092;lddora;21:32;22:20;ldnvin;1064;0:48;17.95;1;V12S;ldnsta;22:02
z092;ldnvin;21:43;22:32;lddora;1065;0:49;17.573;0;V12S;ldnsta;22:02
z092;lddora;22:02;22:50;ldnvin;1066;0:48;17.95;1;V12S;ldnsta;22:32
z092;ldnvin;22:13;23:02;lddora;1067;0:49;17.573;0;V12S;ldnsta;22:32
z092;lddora;22:32;23:20;ldnvin;1068;0:48;17.95;1;V12S;ldnsta;23:02
z092;ldnvin;22:43;23:32;lddora;1069;0:49;17.573;0;V12S;ldnsta;23:02
z092;lddora;23:02;23:50;ldnvin;1070;0:48;17.95;1;V12S;ldnsta;23:32
z092;ldnvin;23:13;24:02:00;lddora;1071;0:49;17.573;0;V12S;ldnsta;23:32
z092;lddora;23:32;24:20:00;ldnvin;1072;0:48;17.95;1;V12S;ldnsta;24:02:00
z092;ldnvin;23:43;24:00:00;ldnsta;1073;0:17;6.417;4;V12S;;
z093;ldnbro;5:41;6:19;lddleh;1001;0:38;12.648;0;V12S;ldnsta;5:56
z093;ldnsta;6:15;6:27;ldnbro;1002;0:12;4.687;0;V12S;;
z093;ldnbro;6:08;6:46;lddleh;1003;0:38;12.648;0;V12S;ldnsta;6:23
z093;lddleh;6:19;6:58;ldnbro;1004;0:39;12.917;0;V12S;ldnsta;6:46
z093;ldnbro;6:41;7:23;lddleh;1005;0:42;12.648;0;V12S;ldnsta;6:56
z093;lddleh;6:46;7:25;ldnbro;1006;0:39;12.917;0;V12S;ldnsta;7:13
z093;ldnbro;7:09;7:53;lddleh;1007;0:44;12.648;0;V12S;ldnsta;7:24
z093;lddleh;7:10;7:54;ldnbro;1008;0:44;12.917;0;V12S;ldnsta;7:40
z093;ldnbro;7:36;8:24;lddleh;1009;0:48;12.648;0;V12S;ldnsta;7:55
z093;lddleh;7:39;8:24;ldnbro;1010;0:45;12.917;0;V12S;ldnsta;8:10
z093;ldnbro;8:06;8:54;lddleh;1011;0:48;12.648;0;V12S;ldnsta;8:25
z093;lddleh;8:08;8:53;ldnbro;1012;0:45;12.917;0;V12S;ldnsta;8:39
z093;ldnbro;8:36;9:24;lddleh;1013;0:48;12.648;0;V12S;ldnsta;8:55
z093;lddleh;8:38;9:24;ldnbro;1014;0:46;12.917;0;V12S;ldnsta;9:10
z093;ldnbro;9:07;9:54;lddleh;1015;0:47;12.648;0;V12S;ldnsta;9:25
z093;lddleh;9:09;9:54;ldnbro;1016;0:45;12.917;0;V12S;ldnsta;9:40
z093;ldnbro;9:37;10:24;lddleh;1017;0:47;12.648;0;V12S;ldnsta;9:55
z093;lddleh;9:39;10:24;ldnbro;1018;0:45;12.917;0;V12S;ldnsta;10:10
z093;ldnbro;10:07;10:54;lddleh;1019;0:47;12.648;0;V12S;ldnsta;10:25
z093;lddleh;10:09;10:54;ldnbro;1020;0:45;12.917;0;V12S;ldnsta;10:40
z093;ldnbro;10:37;11:24;lddleh;1021;0:47;12.648;0;V12S;ldnsta;10:55
z093;lddleh;10:39;11:24;ldnbro;1022;0:45;12.917;0;V12S;ldnsta;11:10
z093;ldnbro;11:07;11:54;lddleh;1023;0:47;12.648;0;V12S;ldnsta;11:25
z093;lddleh;11:09;11:54;ldnbro;1024;0:45;12.917;0;V12S;ldnsta;11:40
z093;ldnbro;11:37;12:24;lddleh;1025;0:47;12.648;0;V12S;ldnsta;11:55
z093;lddleh;11:39;12:24;ldnbro;1026;0:45;12.917;0;V12S;ldnsta;12:10
z093;ldnbro;12:07;12:54;lddleh;1027;0:47;12.648;0;V12S;ldnsta;12:25
z093;lddleh;12:09;12:54;ldnbro;1028;0:45;12.917;0;V12S;ldnsta;12:40
z093;ldnbro;12:37;13:24;lddleh;1029;0:47;12.648;0;V12S;ldnsta;12:55
z093;lddleh;12:39;13:24;ldnbro;1030;0:45;12.917;0;V12S;ldnsta;13:10
z093;ldnbro;13:07;13:54;lddleh;1031;0:47;12.648;0;V12S;ldnsta;13:25
z093;lddleh;13:09;13:54;ldnbro;1032;0:45;12.917;0;V12S;ldnsta;13:40
z093;ldnbro;13:37;14:24;lddleh;1033;0:47;12.648;0;V12S;ldnsta;13:55
z093;lddleh;13:39;14:24;ldnbro;1034;0:45;12.917;0;V12S;ldnsta;14:10
z093;ldnbro;14:07;14:54;lddleh;1035;0:47;12.648;0;V12S;ldnsta;14:25
z093;lddleh;14:09;14:54;ldnbro;1036;0:45;12.917;0;V12S;ldnsta;14:40
z093;ldnbro;14:37;15:24;lddleh;1037;0:47;12.648;0;V12S;ldnsta;14:55
z093;lddleh;14:39;15:24;ldnbro;1038;0:45;12.917;0;V12S;ldnsta;15:10
z093;ldnbro;15:07;15:54;lddleh;1039;0:47;12.648;0;V12S;ldnsta;15:25
z093;lddleh;15:09;15:54;ldnbro;1040;0:45;12.917;0;V12S;ldnsta;15:40
z093;ldnbro;15:37;16:24;lddleh;1041;0:47;12.648;0;V12S;ldnsta;15:55
z093;lddleh;15:39;16:24;ldnbro;1042;0:45;12.917;0;V12S;ldnsta;16:10
z093;ldnbro;16:07;16:54;lddleh;1043;0:47;12.648;0;V12S;ldnsta;16:25
z093;lddleh;16:09;16:54;ldnbro;1044;0:45;12.917;0;V12S;ldnsta;16:40
z093;ldnbro;16:37;17:24;lddleh;1045;0:47;12.648;0;V12S;ldnsta;16:55
z093;lddleh;16:39;17:24;ldnbro;1046;0:45;12.917;0;V12S;ldnsta;17:10
z093;ldnbro;17:07;17:54;lddleh;1047;0:47;12.648;0;V12S;ldnsta;17:25
z093;lddleh;17:09;17:54;ldnbro;1048;0:45;12.917;0;V12S;ldnsta;17:40
z093;ldnbro;17:37;18:24;lddleh;1049;0:47;12.648;0;V12S;ldnsta;17:55
z093;lddleh;17:39;18:24;ldnbro;1050;0:45;12.917;0;V12S;ldnsta;18:10
z093;ldnbro;18:07;18:54;lddleh;1051;0:47;12.648;0;V12S;ldnsta;18:25
z093;lddleh;18:09;18:54;ldnbro;1052;0:45;12.917;0;V12S;ldnsta;18:40
z093;ldnbro;18:37;19:20;lddleh;1053;0:43;12.648;0;V12S;ldnsta;18:55
z093;lddleh;18:46;19:23;ldnbro;1054;0:37;12.917;0;V12S;ldnsta;19:11
z093;ldnbro;19:06;19:46;lddleh;1055;0:40;12.648;0;V12S;ldnsta;19:22
z093;lddleh;19:16;19:53;ldnbro;1056;0:37;12.917;0;V12S;ldnsta;19:41
z093;ldnbro;19:36;20:16;lddleh;1057;0:40;12.648;0;V12S;ldnsta;19:52
z093;lddleh;19:46;20:23;ldnbro;1058;0:37;12.917;0;V12S;ldnsta;20:11
z093;ldnbro;20:06;20:46;lddleh;1059;0:40;12.648;0;V12S;ldnsta;20:22
z093;lddleh;20:16;20:53;ldnbro;1060;0:37;12.917;0;V12S;ldnsta;20:41
z093;ldnbro;20:36;21:16;lddleh;1061;0:40;12.648;0;V12S;ldnsta;20:52
z093;lddleh;20:46;21:23;ldnbro;1062;0:37;12.917;0;V12S;ldnsta;21:11
z093;ldnbro;21:06;21:46;lddleh;1063;0:40;12.648;0;V12S;ldnsta;21:22
z093;lddleh;21:16;21:53;ldnbro;1064;0:37;12.917;0;V12S;ldnsta;21:41
z093;ldnbro;21:36;22:16;lddleh;1065;0:40;12.648;0;V12S;ldnsta;21:52
z093;lddleh;21:46;22:23;ldnbro;1066;0:37;12.917;0;V12S;ldnsta;22:11
z093;ldnbro;22:06;22:46;lddleh;1067;0:40;12.648;0;V12S;ldnsta;22:22
z093;lddleh;22:16;22:53;ldnbro;1068;0:37;12.917;0;V12S;ldnsta;22:41
z093;ldnbro;22:36;23:16;lddleh;1069;0:40;12.648;0;V12S;ldnsta;22:52
z093;lddleh;22:46;23:23;ldnbro;1070;0:37;12.917;0;V12S;ldnsta;23:11
z093;ldnbro;23:07;23:47;lddleh;1071;0:40;12.648;0;V12S;ldnsta;23:23
z093;lddleh;23:16;23:53;ldnbro;1072;0:37;12.917;0;V12S;ldnsta;23:41
z093;ldnbro;23:36;24:16:00;lddleh;1073;0:40;12.648;0;V12S;ldnsta;23:52
z093;ldnbro;24:06:00;24:12:00;ldnrod;1075;0:06;2.255;0;V12S;;
z094;ldnbro;6:27;7:05;ldnvin;1001;0:38;11.66;1;V12S;ldnsta;6:41
z094;ldnrod;5:38;5:41;ldnbro;1002;0:03;1.668;0;V12S;;
z094;ldnbro;6:58;7:36;ldnvin;1003;0:38;11.66;1;V12S;ldnsta;7:10
z094;ldnrod;6:05;6:08;ldnbro;1004;0:03;1.668;0;V12S;;
z094;ldnbro;7:25;8:06;ldnvin;1005;0:41;11.66;1;V12S;ldnsta;7:39
z094;ldnvin;6:34;7:09;ldnbro;1006;0:35;11.803;0;V12S;ldnsta;6:59
z094;ldnbro;7:54;8:36;ldnvin;1007;0:42;11.66;1;V12S;ldnsta;8:09
z094;ldnrod;6:38;6:41;ldnbro;1008;0:03;1.668;0;V12S;;
z094;ldnbro;8:24;9:06;ldnvin;1009;0:42;11.66;1;V12S;ldnsta;8:39
z094;ldnvin;6:57;7:36;ldnbro;1010;0:39;11.803;0;V12S;ldnsta;7:24
z094;ldnbro;8:53;9:36;ldnvin;1011;0:43;11.66;1;V12S;ldnsta;9:08
z094;ldnvin;7:25;8:06;ldnbro;1012;0:41;11.803;0;V12S;ldnsta;7:54
z094;ldnbro;9:24;10:06;ldnvin;1013;0:42;11.66;1;V12S;ldnsta;9:39
z094;ldnvin;7:55;8:36;ldnbro;1014;0:41;11.803;0;V12S;ldnsta;8:24
z094;ldnbro;9:54;10:36;ldnvin;1015;0:42;11.66;1;V12S;ldnsta;10:09
z094;ldnvin;8:25;9:06;ldnbro;1016;0:41;11.803;0;V12S;ldnsta;8:54
z094;ldnbro;10:24;11:06;ldnvin;1017;0:42;11.66;1;V12S;ldnsta;10:39
z094;ldnvin;8:56;9:37;ldnbro;1018;0:41;11.803;0;V12S;ldnsta;9:25
z094;ldnbro;10:54;11:36;ldnvin;1019;0:42;11.66;1;V12S;ldnsta;11:09
z094;ldnvin;9:26;10:07;ldnbro;1020;0:41;11.803;0;V12S;ldnsta;9:55
z094;ldnbro;11:24;12:06;ldnvin;1021;0:42;11.66;1;V12S;ldnsta;11:39
z094;ldnvin;9:56;10:37;ldnbro;1022;0:41;11.803;0;V12S;ldnsta;10:25
z094;ldnbro;11:54;12:36;ldnvin;1023;0:42;11.66;1;V12S;ldnsta;12:09
z094;ldnvin;10:26;11:07;ldnbro;1024;0:41;11.803;0;V12S;ldnsta;10:55
z094;ldnbro;12:24;13:06;ldnvin;1025;0:42;11.66;1;V12S;ldnsta;12:39
z094;ldnvin;10:56;11:37;ldnbro;1026;0:41;11.803;0;V12S;ldnsta;11:25
z094;ldnbro;12:54;13:36;ldnvin;1027;0:42;11.66;1;V12S;ldnsta;13:09
z094;ldnvin;11:26;12:07;ldnbro;1028;0:41;11.803;0;V12S;ldnsta;11:55
z094;ldnbro;13:24;14:06;ldnvin;1029;0:42;11.66;1;V12S;ldnsta;13:39
z094;ldnvin;11:56;12:37;ldnbro;1030;0:41;11.803;0;V12S;ldnsta;12:25
z094;ldnbro;13:54;14:36;ldnvin;1031;0:42;11.66;1;V12S;ldnsta;14:09
z094;ldnvin;12:26;13:07;ldnbro;1032;0:41;11.803;0;V12S;ldnsta;12:55
z094;ldnbro;14:24;15:06;ldnvin;1033;0:42;11.66;1;V12S;ldnsta;14:39
z094;ldnvin;12:56;13:37;ldnbro;1034;0:41;11.803;0;V12S;ldnsta;13:25
z094;ldnbro;14:54;15:36;ldnvin;1035;0:42;11.66;1;V12S;ldnsta;15:09
z094;ldnvin;13:26;14:07;ldnbro;1036;0:41;11.803;0;V12S;ldnsta;13:55
z094;ldnbro;15:24;16:06;ldnvin;1037;0:42;11.66;1;V12S;ldnsta;15:39
z094;ldnvin;13:56;14:37;ldnbro;1038;0:41;11.803;0;V12S;ldnsta;14:25
z094;ldnbro;15:54;16:36;ldnvin;1039;0:42;11.66;1;V12S;ldnsta;16:09
z094;ldnvin;14:26;15:07;ldnbro;1040;0:41;11.803;0;V12S;ldnsta;14:55
z094;ldnbro;16:24;17:06;ldnvin;1041;0:42;11.66;1;V12S;ldnsta;16:39
z094;ldnvin;14:56;15:37;ldnbro;1042;0:41;11.803;0;V12S;ldnsta;15:25
z094;ldnbro;16:54;17:36;ldnvin;1043;0:42;11.66;1;V12S;ldnsta;17:09
z094;ldnvin;15:26;16:07;ldnbro;1044;0:41;11.803;0;V12S;ldnsta;15:55
z094;ldnbro;17:24;18:06;ldnvin;1045;0:42;11.66;1;V12S;ldnsta;17:39
z094;ldnvin;15:56;16:37;ldnbro;1046;0:41;11.803;0;V12S;ldnsta;16:25
z094;ldnbro;17:54;18:36;ldnvin;1047;0:42;11.66;1;V12S;ldnsta;18:09
z094;ldnvin;16:26;17:07;ldnbro;1048;0:41;11.803;0;V12S;ldnsta;16:55
z094;ldnbro;18:24;19:06;ldnvin;1049;0:42;11.66;1;V12S;ldnsta;18:39
z094;ldnvin;16:56;17:37;ldnbro;1050;0:41;11.803;0;V12S;ldnsta;17:25
z094;ldnbro;18:54;19:35;ldnvin;1051;0:41;11.66;1;V12S;ldnsta;19:09
z094;ldnvin;17:26;18:07;ldnbro;1052;0:41;11.803;0;V12S;ldnsta;17:55
z094;ldnbro;19:23;20:03;ldnvin;1053;0:40;11.66;1;V12S;ldnsta;19:37
z094;ldnvin;17:55;18:37;ldnbro;1054;0:42;11.803;0;V12S;ldnsta;18:25
z094;ldnbro;19:53;20:31;ldnvin;1055;0:38;11.66;1;V12S;ldnsta;20:07
z094;ldnvin;18:27;19:06;ldnbro;1056;0:39;11.803;0;V12S;ldnsta;18:55
z094;ldnbro;20:23;21:01;ldnvin;1057;0:38;11.66;1;V12S;ldnsta;20:37
z094;ldnvin;18:58;19:36;ldnbro;1058;0:38;11.803;0;V12S;ldnsta;19:25
z094;ldnbro;20:53;21:30;ldnvin;1059;0:37;11.66;1;V12S;ldnsta;21:07
z094;ldnvin;19:28;20:06;ldnbro;1060;0:38;11.803;0;V12S;ldnsta;19:55
z094;ldnbro;21:23;22:00;ldnvin;1061;0:37;11.66;1;V12S;ldnsta;21:37
z094;ldnvin;19:58;20:36;ldnbro;1062;0:38;11.803;0;V12S;ldnsta;20:25
z094;ldnbro;21:53;22:30;ldnvin;1063;0:37;11.66;1;V12S;ldnsta;22:07
z094;ldnvin;20:28;21:06;ldnbro;1064;0:38;11.803;0;V12S;ldnsta;20:55
z094;ldnbro;22:23;23:00;ldnvin;1065;0:37;11.66;1;V12S;ldnsta;22:37
z094;ldnvin;20:58;21:36;ldnbro;1066;0:38;11.803;0;V12S;ldnsta;21:25
z094;ldnbro;22:53;23:30;ldnvin;1067;0:37;11.66;1;V12S;ldnsta;23:07
z094;ldnvin;21:28;22:06;ldnbro;1068;0:38;11.803;0;V12S;ldnsta;21:55
z094;ldnbro;23:23;24:00:00;ldnvin;1069;0:37;11.66;1;V12S;ldnsta;23:37
z094;ldnvin;21:58;22:36;ldnbro;1070;0:38;11.803;0;V12S;ldnsta;22:25
z094;ldnbro;23:53;23:57;ldnrod;1071;0:04;1.778;0;V12S;;
z094;ldnvin;22:28;23:06;ldnbro;1072;0:38;11.803;0;V12S;ldnsta;22:55
z094;ldnvin;22:58;23:36;ldnbro;1074;0:38;11.803;0;V12S;ldnsta;23:25
z094;ldnvin;23:28;24:06:00;ldnbro;1076;0:38;11.803;0;V12S;ldnsta;23:55
z098;ldnvin;6:17;6:32;ldnsta;1001;0:15;5.426;4;V12S;;
z098;ldnsta;6:29;6:46;ldnvin;1002;0:17;5.213;1;V12S;;
z098;ldnvin;6:47;7:02;ldnsta;1003;0:15;5.426;4;V12S;;
z098;ldnsta;7:00;7:20;ldnvin;1004;0:20;5.213;1;V12S;;
z098;ldnvin;7:12;7:32;ldnsta;1005;0:20;5.426;4;V12S;;
z098;ldnsta;7:30;7:50;ldnvin;1006;0:20;5.213;1;V12S;;
z098;ldnvin;7:42;8:02;ldnsta;1007;0:20;5.426;4;V12S;;
z098;ldnsta;8:00;8:20;ldnvin;1008;0:20;5.213;1;V12S;;
z098;ldnvin;8:12;8:32;ldnsta;1009;0:20;5.426;4;V12S;;
z098;ldnsta;8:30;8:50;ldnvin;1010;0:20;5.213;1;V12S;;
z098;ldnvin;8:42;9:02;ldnsta;1011;0:20;5.426;4;V12S;;
z098;ldnsta;9:00;9:20;ldnvin;1012;0:20;5.213;1;V12S;;
z098;ldnvin;9:11;9:32;ldnsta;1013;0:21;5.426;4;V12S;;
z098;ldnsta;9:31;9:50;ldnvin;1014;0:19;5.213;1;V12S;;
